id|id_parent|level|index|name|url
50119|50100|03|19|Régulateurs de vitesse|http://www.directindustry.fr/fabricant-industriel/regulateur-vitesse-74609.html
50120|50100|03|20|Autres moteurs et accessoires|http://www.directindustry.fr/cat/moteurs-controle-moteur/autres-moteurs-accessoires-D-254.html
50121|50100|03|21|Moteurs pneumatiques|http://www.directindustry.fr/fabricant-industriel/moteur-pneumatique-65197.html
50122|50100|03|22|Moteurs hydrauliques|http://www.directindustry.fr/fabricant-industriel/moteur-hydraulique-61004.html
50123|50100|03|23|Systèmes d'entraînement hydrauliques|http://www.directindustry.fr/fabricant-industriel/systeme-entrainement-hydraulique-96505.html
50124|50100|03|24|Moteurs thermiques à gaz|http://www.directindustry.fr/fabricant-industriel/moteur-thermique-gaz-137911.html
50125|50100|03|25|Moteurs thermiques diesel|http://www.directindustry.fr/fabricant-industriel/moteur-thermique-diesel-211773.html
50126|50100|03|26|Moteurs thermiques essence|http://www.directindustry.fr/fabricant-industriel/moteur-thermique-essence-137905.html
50127|50100|03|27|Autres moteurs thermiques et accessoires|http://www.directindustry.fr/cat/moteurs-controle-moteur/autres-moteurs-thermiques-accessoires-D-1661.html
50128|50100|03|28|Turbines|http://www.directindustry.fr/fabricant-industriel/turbine-66767.html
50200|50000|02|02|Roulements et Guidages Linéaires|http://www.directindustry.fr/cat/roulements-guidages-lineaires-F.html
50201|50200|03|01|Roulements à billes|http://www.directindustry.fr/fabricant-industriel/roulement-billes-61604.html
50202|50200|03|02|Roulements à rouleaux|http://www.directindustry.fr/fabricant-industriel/roulement-rouleaux-140402.html
50203|50200|03|03|Roulements à aiguilles|http://www.directindustry.fr/fabricant-industriel/roulement-aiguilles-60788.html
50204|50200|03|04|Cages à aiguilles|http://www.directindustry.fr/fabricant-industriel/cage-aiguilles-142173.html
50205|50200|03|05|Couronnes d'orientation|http://www.directindustry.fr/fabricant-industriel/couronne-orientation-75006.html
50206|50200|03|06|Butées à billes|http://www.directindustry.fr/fabricant-industriel/butee-billes-75940.html
50207|50200|03|07|Butées à rouleaux|http://www.directindustry.fr/fabricant-industriel/butee-rouleaux-75941.html
50208|50200|03|08|Billes|http://www.directindustry.fr/fabricant-industriel/bille-74310.html
50209|50200|03|09|Extracteurs de roulements|http://www.directindustry.fr/fabricant-industriel/extracteur-roulement-71306.html
50210|50200|03|10|Paliers|http://www.directindustry.fr/fabricant-industriel/palier-61606.html
50211|50200|03|11|Paliers lisses|http://www.directindustry.fr/fabricant-industriel/palier-lisse-76348.html
50212|50200|03|12|Bagues de guidage|http://www.directindustry.fr/fabricant-industriel/bague-guidage-81429.html
50213|50200|03|13|Rotules, Galets|http://www.directindustry.fr/cat/roulements-guidages-lineaires/rotules-galets-F-286.html
50214|50200|03|14|Roues libres|http://www.directindustry.fr/fabricant-industriel/roue-libre-60787.html
50215|50200|03|15|Composants et accessoires pour roulements et paliers|http://www.directindustry.fr/cat/roulements-guidages-lineaires/composants-accessoires-roulements-paliers-F-1156.html
50216|50200|03|16|Guides linéaires|http://www.directindustry.fr/fabricant-industriel/guide-lineaire-74521.html
50217|50200|03|17|Douilles de guidage linéaires|http://www.directindustry.fr/fabricant-industriel/douille-guidage-lineaire-77191.html
50218|50200|03|18|Arbres|http://www.directindustry.fr/fabricant-industriel/arbre-79974.html
50219|50200|03|19|Rails|http://www.directindustry.fr/fabricant-industriel/rail-61283.html
50300|50000|02|03|Transmission Mécanique|http://www.directindustry.fr/cat/transmission-mecanique-L.html
50301|50300|03|01|Courroies trapezoidales|http://www.directindustry.fr/fabricant-industriel/courroie-trapezoidale-61541.html
